                    	simple_wmemchr	__wmemchr_avx2	__wmemchr_avx2_rtm	__wmemchr_evex	__wmemchr_evex_rtm	__wmemchr_sse2
Length   11, position   10, alignment  0:	14.2312	4.12946	4.64761	4.12926	4.1767	4.70302
Length   11, position   10, alignment  0:	13.6963	3.87874	4.53484	3.87903	3.87903	4.45955
Length   11, position   10, alignment  2:	12.9697	3.87901	4.42522	3.87886	3.87906	4.73317
Length   11, position   10, alignment  2:	13.4086	4.129	5.16245	4.16629	4.12926	5.00211
Length    9, position   10, alignment  0:	11.9098	4.85121	6.52156	5.97369	5.9274	5.43919
Length    9, position   10, alignment  0:	14.1529	5.92651	5.98135	5.92636	5.9671	5.39922
Length    9, position   10, alignment  2:	13.7097	5.33372	8.32613	5.92662	5.98836	5.27763
Length    9, position   10, alignment  2:	13.0562	5.20554	7.742	5.07462	5.16154	4.70131
Length   12, position   11, alignment  0:	14.9645	4.1295	4.64792	4.17726	4.12961	4.49541
Length   12, position   11, alignment  0:	14.6598	4.12917	4.19719	4.16197	4.12915	4.70149
Length   12, position   11, alignment  3:	15.0475	4.12944	4.64784	4.17484	4.12939	5.00186
Length   12, position   11, alignment  3:	14.9989	4.12907	4.19762	4.17519	4.12933	4.81046
Length   10, position   11, alignment  0:	12.5981	5.19987	4.64706	5.19695	5.16159	4.70216
Length   10, position   11, alignment  0:	11.9167	5.20203	7.75624	5.16142	5.68494	5.43115
Length   10, position   11, alignment  3:	13.6654	5.92613	6.48239	5.92632	5.97006	5.73808
Length   10, position   11, alignment  3:	13.7168	5.92648	4.81593	5.96507	5.92592	5.77937
Length   13, position   12, alignment  0:	12.5455	4.74135	5.58144	4.59198	4.61536	4.83617
Length   13, position   12, alignment  0:	10.7438	3.60561	4.00233	3.58459	3.55571	4.30719
Length   13, position   12, alignment  4:	11.1453	3.86716	4.28255	3.59254	3.62938	4.30739
Length   13, position   12, alignment  4:	11.1545	3.83163	4.28444	3.62413	3.58882	4.30716
Length   11, position   12, alignment  0:	8.03081	4.44475	5.0284	4.44481	4.47968	4.04993
Length   11, position   12, alignment  0:	8.03595	4.44441	3.61215	4.70308	4.84854	4.41701
Length   11, position   12, alignment  4:	8.772	4.88466	7.66483	5.96083	5.92592	5.44275
Length   11, position   12, alignment  4:	10.6665	5.96138	5.33569	5.97162	5.92622	5.43098
Length   14, position   13, alignment  0:	13.7146	4.74135	5.37062	4.74117	4.78275	5.74329
Length   14, position   13, alignment  0:	13.631	4.61143	5.71553	4.57156	4.17889	5.00206
Length   14, position   13, alignment  5:	11.926	4.45032	5.01474	4.16885	4.20735	4.91595
Length   14, position   13, alignment  5:	11.1882	4.17944	4.70299	3.91977	3.9185	4.74367
Length   12, position   13, alignment  0:	9.21225	4.88498	3.94647	4.44469	4.47676	3.61575
Length   12, position   13, alignment  0:	10.5605	4.8483	4.3006	4.84863	4.89313	3.94501
Length   12, position   13, alignment  5:	9.24307	4.44495	4.30304	4.88736	4.84906	4.74139
Length   12, position   13, alignment  5:	9.21193	5.14799	5.16351	5.20702	4.76378	5.34189
Length   15, position   14, alignment  0:	12.7703	4.45006	4.48718	4.44887	4.41408	5.34711
Length   15, position   14, alignment  0:	12.8493	4.44646	4.48657	4.45407	4.41422	5.34669
Length   15, position   14, alignment  6:	12.8739	4.79741	5.31624	4.50818	4.45537	6.1806
Length   15, position   14, alignment  6:	12.8961	4.75633	5.31708	4.50348	4.45564	6.22963
Length   13, position   14, alignment  0:	11.0679	5.49524	7.74104	5.5253	5.16151	5.03748
Length   13, position   14, alignment  0:	10.3937	5.16135	6.83467	5.16165	5.46613	5.34192
Length   13, position   14, alignment  6:	11.2656	5.10638	6.83681	5.92625	5.4725	5.73824
Length   13, position   14, alignment  6:	11.9214	5.14316	5.70247	5.96207	5.92621	5.77528
Length   16, position   15, alignment  0:	14.3311	4.741	5.37759	4.74112	4.74089	5.73233
Length   16, position   15, alignment  0:	14.1339	4.21939	4.77274	4.12904	4.12932	5.21036
Length   16, position   15, alignment  7:	13.3371	4.75671	5.40407	4.60222	4.6609	6.40083
Length   16, position   15, alignment  7:	14.907	4.96466	5.50507	4.66299	4.61472	6.44193
Length   14, position   15, alignment  0:	13.7828	5.71414	7.11491	5.71442	5.75702	5.53259
Length   14, position   15, alignment  0:	13.7916	5.52814	4.64407	5.64102	5.51732	5.02928
Length   14, position   15, alignment  7:	11.3548	4.78125	5.51924	5.55598	5.51782	6.21956
Length   14, position   15, alignment  7:	11.6748	4.75363	5.30864	5.56311	5.51735	6.44106
Length   17, position   16, alignment  0:	14.3914	4.92705	5.55087	4.61523	4.6604	6.40038
Length   17, position   16, alignment  0:	16.6191	5.31664	5.70949	4.83282	4.78563	6.67435
Length   17, position   16, alignment  0:	17.2691	5.25087	5.98323	4.78555	4.82767	6.63702
Length   17, position   16, alignment  0:	14.9393	5.10867	5.74658	4.78606	4.78526	6.67986
Length   15, position   16, alignment  0:	12.7604	5.71443	6.17082	5.71468	5.75798	5.53285
Length   15, position   16, alignment  0:	12.681	5.75873	5.14594	5.76184	5.71422	5.57692
Length   15, position   16, alignment  0:	12.2006	5.5175	6.84488	5.51752	5.5638	5.34198
Length   15, position   16, alignment  0:	12.3486	5.71411	5.73457	5.71443	5.75945	5.53242
Length   18, position   17, alignment  0:	14.8257	4.75604	5.51839	4.50072	4.59123	6.43179
Length   18, position   17, alignment  0:	14.94	4.92616	5.54709	4.61513	4.6557	6.40007
Length   18, position   17, alignment  1:	14.955	4.97322	5.71558	4.66037	4.61441	6.40024
Length   18, position   17, alignment  1:	14.9983	4.92627	5.55145	4.7901	4.7858	6.67953
Length   16, position   17, alignment  0:	13.7179	5.24893	5.65219	4.57225	5.76251	5.2357
Length   16, position   17, alignment  0:	13.1961	5.1918	6.10045	4.6124	5.71431	5.11971
Length   16, position   17, alignment  1:	12.7787	4.80226	6.62242	5.57358	5.51796	6.20927
Length   16, position   17, alignment  1:	12.7811	4.75415	7.40369	5.51747	5.56197	6.17412
Length   19, position   18, alignment  0:	15.028	4.75562	5.40829	4.81367	4.78508	6.64946
Length   19, position   18, alignment  0:	18.301	5.14679	5.70943	4.7856	4.8195	6.63676
Length   19, position   18, alignment  2:	18.5669	5.10811	5.98955	4.78575	4.83099	7.53975
