                       	strtok	oldstrtok
Length   30/2, alignment  0/ 9, fail:	27.1562	57.6875
Length   30/2, alignment  0/15, found:	32.4453	59.4609
Length   30/2, alignment  0/15, fail:	27.4922	58.1875
Length   30/2, alignment  3/ 0, found:	22.7422	61.3984
Length   30/2, alignment  3/ 0, fail:	25.1328	61.5469
Length   30/2, alignment  3/ 3, found:	29.5	61.0547
Length   30/2, alignment  3/ 3, fail:	27.7578	60.8125
Length   30/2, alignment  3/ 9, found:	27.8281	60.6953
Length   30/2, alignment  3/ 9, fail:	26.9531	60.5391
Length   30/2, alignment  3/15, found:	28.5391	61.1328
Length   30/2, alignment  3/15, fail:	28.7031	60.9453
Length   30/2, alignment  9/ 0, found:	25.0859	61.4688
Length   30/2, alignment  9/ 0, fail:	24.6562	61.2578
Length   30/2, alignment  9/ 3, found:	28.2969	60.7969
Length   30/2, alignment  9/ 3, fail:	28.4766	60.5469
Length   30/2, alignment  9/ 9, found:	28.9531	60.5469
Length   30/2, alignment  9/ 9, fail:	27.5312	60.4219
Length   30/2, alignment  9/15, found:	26.3984	61.1094
Length   30/2, alignment  9/15, fail:	28.4375	60.9453
Length   30/2, alignment 15/ 0, found:	26.8281	64.2109
Length   30/2, alignment 15/ 0, fail:	25.9219	60.4531
Length   30/2, alignment 15/ 3, found:	31.1094	64.0312
Length   30/2, alignment 15/ 3, fail:	29.4688	59.3984
Length   30/2, alignment 15/ 9, found:	30.5938	63.9297
Length   30/2, alignment 15/ 9, fail:	28.8516	59.4062
Length   30/2, alignment 15/15, found:	32.2266	65.0234
Length   30/2, alignment 15/15, fail:	29.1094	60.1719
Length    6/3, alignment  0/ 0, found:	25.3203	59.9219
Length    6/3, alignment  0/ 0, fail:	23.7266	59.6094
Length    6/3, alignment  0/ 3, found:	25.1484	59.1875
Length    6/3, alignment  0/ 3, fail:	28.1406	59.9297
Length    6/3, alignment  0/ 9, found:	28.0234	58.8438
Length    6/3, alignment  0/ 9, fail:	27.1328	59.5312
Length    6/3, alignment  0/15, found:	28.7344	59.5
Length    6/3, alignment  0/15, fail:	28.4688	59.3125
Length    6/3, alignment  3/ 0, found:	24.3984	60.3438
Length    6/3, alignment  3/ 0, fail:	23.2812	60.1328
Length    6/3, alignment  3/ 3, found:	26.9141	60.6562
Length    6/3, alignment  3/ 3, fail:	27.2969	60.2266
Length    6/3, alignment  3/ 9, found:	27.1953	60.1016
Length    6/3, alignment  3/ 9, fail:	26.2891	60.1484
Length    6/3, alignment  3/15, found:	28.1406	60.625
Length    6/3, alignment  3/15, fail:	27.1719	60.1484
Length    6/3, alignment  9/ 0, found:	22.7969	59.9922
Length    6/3, alignment  9/ 0, fail:	23.3672	59.8984
