                       	strtok	oldstrtok
Length  345/23, alignment  9/ 9, fail:	200.594	266.07
Length  345/23, alignment  9/15, found:	204.398	284.047
Length  345/23, alignment  9/15, fail:	216.305	284.094
Length  345/23, alignment 15/ 0, found:	216.5	288.758
Length  345/23, alignment 15/ 0, fail:	217.047	289.164
Length  345/23, alignment 15/ 3, found:	216.523	283.516
Length  345/23, alignment 15/ 3, fail:	216.438	285.828
Length  345/23, alignment 15/ 9, found:	213.523	282.664
Length  345/23, alignment 15/ 9, fail:	214.234	282.633
Length  345/23, alignment 15/15, found:	216.406	284.734
Length  345/23, alignment 15/15, fail:	238.047	283.734
Length   48/24, alignment  0/ 0, found:	63.1406	130.742
Length   48/24, alignment  0/ 0, fail:	63.1328	129.617
Length   48/24, alignment  0/ 3, found:	64.7812	129.656
Length   48/24, alignment  0/ 3, fail:	68.5078	129.727
Length   48/24, alignment  0/ 9, found:	68.2656	129.984
Length   48/24, alignment  0/ 9, fail:	68.3438	130.062
Length   48/24, alignment  0/15, found:	69.7109	130.68
Length   48/24, alignment  0/15, fail:	68.2891	130.641
Length   48/24, alignment  3/ 0, found:	67.7656	131.703
Length   48/24, alignment  3/ 0, fail:	62.9141	129.922
Length   48/24, alignment  3/ 3, found:	64.5156	137.148
Length   48/24, alignment  3/ 3, fail:	68.8516	137.633
Length   48/24, alignment  3/ 9, found:	68.5469	136.367
Length   48/24, alignment  3/ 9, fail:	68.6406	136.727
Length   48/24, alignment  3/15, found:	68.7109	137.602
Length   48/24, alignment  3/15, fail:	68.9297	138.008
Length   48/24, alignment  9/ 0, found:	67.2656	138.82
Length   48/24, alignment  9/ 0, fail:	67.2969	138.469
Length   48/24, alignment  9/ 3, found:	68.8516	137.328
Length   48/24, alignment  9/ 3, fail:	68.875	136.703
Length   48/24, alignment  9/ 9, found:	68.5547	137.047
Length   48/24, alignment  9/ 9, fail:	68.4062	138.453
Length   48/24, alignment  9/15, found:	68.8828	137.234
Length   48/24, alignment  9/15, fail:	68.9219	136.594
Length   48/24, alignment 15/ 0, found:	67.1719	137.789
Length   48/24, alignment 15/ 0, fail:	67.1953	137.586
Length   48/24, alignment 15/ 3, found:	68.8828	155.367
Length   48/24, alignment 15/ 3, fail:	68.9688	137.047
Length   48/24, alignment 15/ 9, found:	68.0078	136.664
Length   48/24, alignment 15/ 9, fail:	68.0625	136.742
Length   48/24, alignment 15/15, found:	68.4062	137.344
Length   48/24, alignment 15/15, fail:	68.5625	137.078
Length   72/24, alignment  0/ 0, found:	79.0938	156.008
Length   72/24, alignment  0/ 0, fail:	78.375	155.852
Length   72/24, alignment  0/ 3, found:	78.6172	151.547
Length   72/24, alignment  0/ 3, fail:	78.8125	153.688
Length   72/24, alignment  0/ 9, found:	76.1953	150.898
Length   72/24, alignment  0/ 9, fail:	75.9844	150.203
Length   72/24, alignment  0/15, found:	78.8594	151.219
Length   72/24, alignment  0/15, fail:	78.7578	153.523
Length   72/24, alignment  3/ 0, found:	78.6641	157.305
Length   72/24, alignment  3/ 0, fail:	78.2344	155.375
Length   72/24, alignment  3/ 3, found:	78.8047	151.461
Length   72/24, alignment  3/ 3, fail:	78.7969	153.227
Length   72/24, alignment  3/ 9, found:	76.3594	151.969
Length   72/24, alignment  3/ 9, fail:	76.1406	151.047
Length   72/24, alignment  3/15, found:	82.7422	153.109
Length   72/24, alignment  3/15, fail:	78.4062	150.812
Length   72/24, alignment  9/ 0, found:	78.4375	155.141
Length   72/24, alignment  9/ 0, fail:	78.7109	155.703
Length   72/24, alignment  9/ 3, found:	78.5391	150.188
Length   72/24, alignment  9/ 3, fail:	78.8516	151.305
Length   72/24, alignment  9/ 9, found:	91.8359	150.391
Length   72/24, alignment  9/ 9, fail:	76.1953	152.039
Length   72/24, alignment  9/15, found:	78.5	154.242
Length   72/24, alignment  9/15, fail:	78.4375	151.125
Length   72/24, alignment 15/ 0, found:	78.5234	154.766
Length   72/24, alignment 15/ 0, fail:	78.6172	155.953
Length   72/24, alignment 15/ 3, found:	78.4531	152.633
Length   72/24, alignment 15/ 3, fail:	78.6094	154
Length   72/24, alignment 15/ 9, found:	76.1562	152.305
Length   72/24, alignment 15/ 9, fail:	75.8438	149.914
Length   72/24, alignment 15/15, found:	78.6875	152.891
Length   72/24, alignment 15/15, fail:	78.7266	151.141
Length   96/24, alignment  0/ 0, found:	92.3047	167.047
Length   96/24, alignment  0/ 0, fail:	91.4922	167.188
Length   96/24, alignment  0/ 3, found:	91.6641	165.062
Length   96/24, alignment  0/ 3, fail:	90.8281	164.453
Length   96/24, alignment  0/ 9, found:	89.7734	163.555
Length   96/24, alignment  0/ 9, fail:	89.7266	164.43
Length   96/24, alignment  0/15, found:	91.0547	164.305
Length   96/24, alignment  0/15, fail:	91.1328	164.211
Length   96/24, alignment  3/ 0, found:	92.1875	166.625
Length   96/24, alignment  3/ 0, fail:	92.3672	167.344
Length   96/24, alignment  3/ 3, found:	91.8359	165.078
Length   96/24, alignment  3/ 3, fail:	91.5469	164.492
Length   96/24, alignment  3/ 9, found:	111.234	165.945
Length   96/24, alignment  3/ 9, fail:	89.6719	163.961
Length   96/24, alignment  3/15, found:	90.9844	161.805
Length   96/24, alignment  3/15, fail:	91.4219	164.672
Length   96/24, alignment  9/ 0, found:	91.6641	166.906
Length   96/24, alignment  9/ 0, fail:	91.7656	166.781
Length   96/24, alignment  9/ 3, found:	90.9609	163.844
Length   96/24, alignment  9/ 3, fail:	91.0781	164.406
Length   96/24, alignment  9/ 9, found:	89.5234	163.867
Length   96/24, alignment  9/ 9, fail:	89.8438	163.672
Length   96/24, alignment  9/15, found:	91.2266	164.484
Length   96/24, alignment  9/15, fail:	91.1328	165.555
Length   96/24, alignment 15/ 0, found:	91.6641	166.977
Length   96/24, alignment 15/ 0, fail:	91.8516	167.391
Length   96/24, alignment 15/ 3, found:	91.5703	165.062
Length   96/24, alignment 15/ 3, fail:	91.3594	162.258
Length   96/24, alignment 15/ 9, found:	90.0625	166.281
Length   96/24, alignment 15/ 9, fail:	89.8359	165.273
Length   96/24, alignment 15/15, found:	91.6172	166.812
Length   96/24, alignment 15/15, fail:	91.1797	164.734
Length  120/24, alignment  0/ 0, found:	107.383	183.516
Length  120/24, alignment  0/ 0, fail:	106.25	183.094
Length  120/24, alignment  0/ 3, found:	106.344	203.547
Length  120/24, alignment  0/ 3, fail:	105.961	182.703
Length  120/24, alignment  0/ 9, found:	103.594	179.031
Length  120/24, alignment  0/ 9, fail:	103.141	177.039
Length  120/24, alignment  0/15, found:	105.906	177.805
Length  120/24, alignment  0/15, fail:	105.969	177.57
Length  120/24, alignment  3/ 0, found:	106.016	182.188
Length  120/24, alignment  3/ 0, fail:	106.008	182.141
Length  120/24, alignment  3/ 3, found:	105.734	177.523
Length  120/24, alignment  3/ 3, fail:	105.633	177.812
Length  120/24, alignment  3/ 9, found:	102.875	177.094
Length  120/24, alignment  3/ 9, fail:	102.898	177.352
Length  120/24, alignment  3/15, found:	105.961	177.234
Length  120/24, alignment  3/15, fail:	105.641	177.297
Length  120/24, alignment  9/ 0, found:	106.281	183.242
Length  120/24, alignment  9/ 0, fail:	106.039	182.32
Length  120/24, alignment  9/ 3, found:	105.344	179.344
Length  120/24, alignment  9/ 3, fail:	105.922	179.945
Length  120/24, alignment  9/ 9, found:	102.609	177.891
Length  120/24, alignment  9/ 9, fail:	102.898	176.859
Length  120/24, alignment  9/15, found:	106.148	178.109
Length  120/24, alignment  9/15, fail:	120.5	178.781
Length  120/24, alignment 15/ 0, found:	105.688	182.508
Length  120/24, alignment 15/ 0, fail:	105.656	182.719
Length  120/24, alignment 15/ 3, found:	105.336	178.914
Length  120/24, alignment 15/ 3, fail:	105.141	181.812
Length  120/24, alignment 15/ 9, found:	102.742	178.156
Length  120/24, alignment 15/ 9, fail:	102.852	180.359
Length  120/24, alignment 15/15, found:	109.406	185.453
Length  120/24, alignment 15/15, fail:	113.578	191.047
Length  144/24, alignment  0/ 0, found:	129.203	210.164
Length  144/24, alignment  0/ 0, fail:	128.242	209.305
Length  144/24, alignment  0/ 3, found:	128.828	230.594
Length  144/24, alignment  0/ 3, fail:	128.055	235.141
Length  144/24, alignment  0/ 9, found:	126.5	234.422
Length  144/24, alignment  0/ 9, fail:	126.82	236.375
Length  144/24, alignment  0/15, found:	127.898	234.703
Length  144/24, alignment  0/15, fail:	127.469	236.688
Length  144/24, alignment  3/ 0, found:	127.906	209.469
Length  144/24, alignment  3/ 0, fail:	127.836	228.078
Length  144/24, alignment  3/ 3, found:	127.312	232.711
Length  144/24, alignment  3/ 3, fail:	127.414	235.352
Length  144/24, alignment  3/ 9, found:	125.922	235.516
Length  144/24, alignment  3/ 9, fail:	126	234.797
Length  144/24, alignment  3/15, found:	127.625	234.68
Length  144/24, alignment  3/15, fail:	126.992	234.883
Length  144/24, alignment  9/ 0, found:	128.289	209.172
Length  144/24, alignment  9/ 0, fail:	128.125	209
Length  144/24, alignment  9/ 3, found:	127.391	238.359
Length  144/24, alignment  9/ 3, fail:	126.953	236.508
Length  144/24, alignment  9/ 9, found:	126.07	235.258
Length  144/24, alignment  9/ 9, fail:	125.641	235.719
Length  144/24, alignment  9/15, found:	127.469	238.219
Length  144/24, alignment  9/15, fail:	127.797	235.984
Length  144/24, alignment 15/ 0, found:	127.531	208.758
Length  144/24, alignment 15/ 0, fail:	127.586	208.367
Length  144/24, alignment 15/ 3, found:	148.422	238.898
Length  144/24, alignment 15/ 3, fail:	127.547	236.93
Length  144/24, alignment 15/ 9, found:	126.273	237.172
Length  144/24, alignment 15/ 9, fail:	126.203	237.055
Length  144/24, alignment 15/15, found:	127.445	239.273
Length  144/24, alignment 15/15, fail:	127.445	239.016
Length  168/24, alignment  0/ 0, found:	142.508	225.211
Length  168/24, alignment  0/ 0, fail:	142.648	224.891
Length  168/24, alignment  0/ 3, found:	143.344	225.133
Length  168/24, alignment  0/ 3, fail:	143.055	223.555
Length  168/24, alignment  0/ 9, found:	139.422	220.727
Length  168/24, alignment  0/ 9, fail:	139.719	220.422
Length  168/24, alignment  0/15, found:	142.5	223.195
Length  168/24, alignment  0/15, fail:	143.234	222.836
Length  168/24, alignment  3/ 0, found:	142.875	224.062
Length  168/24, alignment  3/ 0, fail:	142.898	224.547
Length  168/24, alignment  3/ 3, found:	142.375	240.961
Length  168/24, alignment  3/ 3, fail:	143.398	222.75
Length  168/24, alignment  3/ 9, found:	139.477	220.156
Length  168/24, alignment  3/ 9, fail:	139.742	221.188
Length  168/24, alignment  3/15, found:	142.805	220.25
Length  168/24, alignment  3/15, fail:	142.672	220.094
Length  168/24, alignment  9/ 0, found:	142.727	224.664
Length  168/24, alignment  9/ 0, fail:	142.625	224.734
Length  168/24, alignment  9/ 3, found:	141.969	220.906
Length  168/24, alignment  9/ 3, fail:	143.094	221.727
Length  168/24, alignment  9/ 9, found:	139.258	220.359
Length  168/24, alignment  9/ 9, fail:	140.477	219.133
Length  168/24, alignment  9/15, found:	142.602	220.516
Length  168/24, alignment  9/15, fail:	142.484	219.984
Length  168/24, alignment 15/ 0, found:	142.562	224.656
Length  168/24, alignment 15/ 0, fail:	142.508	224.367
Length  168/24, alignment 15/ 3, found:	142.234	243.734
Length  168/24, alignment 15/ 3, fail:	141.859	221.969
Length  168/24, alignment 15/ 9, found:	139.234	220.297
Length  168/24, alignment 15/ 9, fail:	139.117	221.008
Length  168/24, alignment 15/15, found:	142.641	223.914
Length  168/24, alignment 15/15, fail:	142.492	223.68
Length  192/24, alignment  0/ 0, found:	157.172	239.023
Length  192/24, alignment  0/ 0, fail:	156.273	237.695
Length  192/24, alignment  0/ 3, found:	157.469	235.938
Length  192/24, alignment  0/ 3, fail:	156.664	234.844
Length  192/24, alignment  0/ 9, found:	155.055	234.258
Length  192/24, alignment  0/ 9, fail:	154.992	235.047
Length  192/24, alignment  0/15, found:	156.57	239.977
Length  192/24, alignment  0/15, fail:	150.195	226.672
Length  192/24, alignment  3/ 0, found:	151.406	230.453
Length  192/24, alignment  3/ 0, fail:	150.664	228.68
Length  192/24, alignment  3/ 3, found:	168.758	225.961
Length  192/24, alignment  3/ 3, fail:	151.352	226.625
Length  192/24, alignment  3/ 9, found:	148.672	225.539
Length  192/24, alignment  3/ 9, fail:	149.523	225.281
Length  192/24, alignment  3/15, found:	150.664	226.328
Length  192/24, alignment  3/15, fail:	150.625	226
Length  192/24, alignment  9/ 0, found:	151.336	228.992
Length  192/24, alignment  9/ 0, fail:	151.172	229.547
Length  192/24, alignment  9/ 3, found:	150.5	227.109
Length  192/24, alignment  9/ 3, fail:	150.32	226
Length  192/24, alignment  9/ 9, found:	148.852	225.539
Length  192/24, alignment  9/ 9, fail:	148.648	226.852
Length  192/24, alignment  9/15, found:	150.484	227.57
Length  192/24, alignment  9/15, fail:	150.648	227.445
Length  192/24, alignment 15/ 0, found:	150.93	229.625
Length  192/24, alignment 15/ 0, fail:	151.055	229.164
Length  192/24, alignment 15/ 3, found:	172.906	227.344
Length  192/24, alignment 15/ 3, fail:	150.305	226.75
Length  192/24, alignment 15/ 9, found:	148.961	226.812
Length  192/24, alignment 15/ 9, fail:	148.664	226.344
Length  192/24, alignment 15/15, found:	150.5	226.312
Length  192/24, alignment 15/15, fail:	150.422	226.781
Length  216/24, alignment  0/ 0, found:	166.258	244.969
Length  216/24, alignment  0/ 0, fail:	165.234	244.43
Length  216/24, alignment  0/ 3, found:	165.977	240.398
Length  216/24, alignment  0/ 3, fail:	165.07	239.672
Length  216/24, alignment  0/ 9, found:	162.195	238.523
Length  216/24, alignment  0/ 9, fail:	162.484	238.867
Length  216/24, alignment  0/15, found:	165.039	240.312
Length  216/24, alignment  0/15, fail:	165.25	240.297
Length  216/24, alignment  3/ 0, found:	165.148	245.57
Length  216/24, alignment  3/ 0, fail:	183.758	244.352
Length  216/24, alignment  3/ 3, found:	164.633	240.5
Length  216/24, alignment  3/ 3, fail:	164.922	240.453
Length  216/24, alignment  3/ 9, found:	162.094	239.109
Length  216/24, alignment  3/ 9, fail:	162.258	238.75
Length  216/24, alignment  3/15, found:	165.016	241.562
Length  216/24, alignment  3/15, fail:	164.75	241.797
Length  216/24, alignment  9/ 0, found:	165.023	245.367
Length  216/24, alignment  9/ 0, fail:	164.781	245.242
Length  216/24, alignment  9/ 3, found:	164.875	241.266
Length  216/24, alignment  9/ 3, fail:	164.945	242.008
Length  216/24, alignment  9/ 9, found:	161.82	239.438
Length  216/24, alignment  9/ 9, fail:	162.242	238.859
Length  216/24, alignment  9/15, found:	164.688	240.523
Length  216/24, alignment  9/15, fail:	164.43	265.5
Length  216/24, alignment 15/ 0, found:	165.016	245.281
Length  216/24, alignment 15/ 0, fail:	165.281	244.484
Length  216/24, alignment 15/ 3, found:	165.102	242.234
Length  216/24, alignment 15/ 3, fail:	164.992	242.172
Length  216/24, alignment 15/ 9, found:	162.18	239.242
Length  216/24, alignment 15/ 9, fail:	162.234	239.156
Length  216/24, alignment 15/15, found:	165.047	241.961
Length  216/24, alignment 15/15, fail:	164.117	241.328
Length  240/24, alignment  0/ 0, found:	218.758	258.133
Length  240/24, alignment  0/ 0, fail:	218.594	257.836
Length  240/24, alignment  0/ 3, found:	178.93	256.844
Length  240/24, alignment  0/ 3, fail:	178.453	256.352
Length  240/24, alignment  0/ 9, found:	176.539	254.102
Length  240/24, alignment  0/ 9, fail:	176.812	255.828
Length  240/24, alignment  0/15, found:	195.883	255.695
Length  240/24, alignment  0/15, fail:	178.297	255.164
Length  240/24, alignment  3/ 0, found:	218.281	257.203
Length  240/24, alignment  3/ 0, fail:	217.68	257.273
Length  240/24, alignment  3/ 3, found:	178.148	254.18
Length  240/24, alignment  3/ 3, fail:	178.109	254.742
Length  240/24, alignment  3/ 9, found:	176.07	253.969
Length  240/24, alignment  3/ 9, fail:	176.422	254.062
Length  240/24, alignment  3/15, found:	178.336	254.547
Length  240/24, alignment  3/15, fail:	178.43	256.273
Length  240/24, alignment  9/ 0, found:	218.156	257.211
Length  240/24, alignment  9/ 0, fail:	217.156	257.461
Length  240/24, alignment  9/ 3, found:	178.07	254.742
Length  240/24, alignment  9/ 3, fail:	178.32	275.961
Length  240/24, alignment  9/ 9, found:	175.555	253.469
Length  240/24, alignment  9/ 9, fail:	176.086	253.711
Length  240/24, alignment  9/15, found:	178.531	256.023
Length  240/24, alignment  9/15, fail:	178.266	254.117
Length  240/24, alignment 15/ 0, found:	217.859	257.555
Length  240/24, alignment 15/ 0, fail:	218.07	257.477
Length  240/24, alignment 15/ 3, found:	178.164	254.828
Length  240/24, alignment 15/ 3, fail:	178.391	254.984
Length  240/24, alignment 15/ 9, found:	176.914	253.203
Length  240/24, alignment 15/ 9, fail:	176.297	253.633
Length  240/24, alignment 15/15, found:	178.414	254.414
Length  240/24, alignment 15/15, fail:	178.414	254.289
Length  264/24, alignment  0/ 0, found:	192.773	272.102
Length  264/24, alignment  0/ 0, fail:	211.312	272.055
Length  264/24, alignment  0/ 3, found:	193.078	268.391
Length  264/24, alignment  0/ 3, fail:	192.508	268.359
Length  264/24, alignment  0/ 9, found:	190.039	267.039
Length  264/24, alignment  0/ 9, fail:	189.492	267.07
Length  264/24, alignment  0/15, found:	192.32	270.844
Length  264/24, alignment  0/15, fail:	192.703	269.016
Length  264/24, alignment  3/ 0, found:	192.727	272.906
Length  264/24, alignment  3/ 0, fail:	192.297	272.586
Length  264/24, alignment  3/ 3, found:	192.211	270.016
Length  264/24, alignment  3/ 3, fail:	192.258	270.953
Length  264/24, alignment  3/ 9, found:	189.695	266.523
Length  264/24, alignment  3/ 9, fail:	189.664	268.211
Length  264/24, alignment  3/15, found:	214.859	269.836
Length  264/24, alignment  3/15, fail:	192.227	269.227
Length  264/24, alignment  9/ 0, found:	192.875	271.672
Length  264/24, alignment  9/ 0, fail:	192.75	271.492
Length  264/24, alignment  9/ 3, found:	192.273	268.852
Length  264/24, alignment  9/ 3, fail:	192.125	268.32
Length  264/24, alignment  9/ 9, found:	189.453	266.719
Length  264/24, alignment  9/ 9, fail:	190.258	267.477
Length  264/24, alignment  9/15, found:	192.031	267.82
Length  264/24, alignment  9/15, fail:	192.094	267.953
Length  264/24, alignment 15/ 0, found:	192.648	272.672
Length  264/24, alignment 15/ 0, fail:	192.992	271.758
Length  264/24, alignment 15/ 3, found:	191.969	267.445
Length  264/24, alignment 15/ 3, fail:	210.125	270.078
Length  264/24, alignment 15/ 9, found:	189.648	266.492
Length  264/24, alignment 15/ 9, fail:	189.734	266.383
Length  264/24, alignment 15/15, found:	192.172	267.5
Length  264/24, alignment 15/15, fail:	192.086	267.398
Length  288/24, alignment  0/ 0, found:	207.438	286.852
Length  288/24, alignment  0/ 0, fail:	206.633	286.484
Length  288/24, alignment  0/ 3, found:	207.508	285.32
Length  288/24, alignment  0/ 3, fail:	206.617	284.742
Length  288/24, alignment  0/ 9, found:	205.805	281.25
Length  288/24, alignment  0/ 9, fail:	204.531	280.211
Length  288/24, alignment  0/15, found:	206.477	282.312
Length  288/24, alignment  0/15, fail:	206.023	301.312
Length  288/24, alignment  3/ 0, found:	206.516	285.406
Length  288/24, alignment  3/ 0, fail:	206.711	285.195
Length  288/24, alignment  3/ 3, found:	206.094	281.609
Length  288/24, alignment  3/ 3, fail:	206.289	281.531
Length  288/24, alignment  3/ 9, found:	204.391	281.281
Length  288/24, alignment  3/ 9, fail:	204.578	282.188
Length  288/24, alignment  3/15, found:	206.367	282.852
Length  288/24, alignment  3/15, fail:	206.711	282.422
Length  288/24, alignment  9/ 0, found:	206.43	285.094
Length  288/24, alignment  9/ 0, fail:	206.672	285.453
Length  288/24, alignment  9/ 3, found:	206.742	283.961
Length  288/24, alignment  9/ 3, fail:	206.766	296.57
Length  288/24, alignment  9/ 9, found:	203.656	281.25
Length  288/24, alignment  9/ 9, fail:	204.695	280.664
Length  288/24, alignment  9/15, found:	205.766	281.68
Length  288/24, alignment  9/15, fail:	206.703	281.641
Length  288/24, alignment 15/ 0, found:	206.344	285.039
Length  288/24, alignment 15/ 0, fail:	206.375	285.719
Length  288/24, alignment 15/ 3, found:	206.18	282.766
Length  288/24, alignment 15/ 3, fail:	206.508	282.336
Length  288/24, alignment 15/ 9, found:	204.406	280.938
Length  288/24, alignment 15/ 9, fail:	204.305	281.641
Length  288/24, alignment 15/15, found:	206.359	281.062
Length  288/24, alignment 15/15, fail:	206.469	281.453
Length  312/24, alignment  0/ 0, found:	241.227	299.469
Length  312/24, alignment  0/ 0, fail:	220.852	298.977
Length  312/24, alignment  0/ 3, found:	221.242	296.32
Length  312/24, alignment  0/ 3, fail:	221.102	298.508
Length  312/24, alignment  0/ 9, found:	218.242	295.133
Length  312/24, alignment  0/ 9, fail:	218.078	294.289
Length  312/24, alignment  0/15, found:	220.758	295.195
Length  312/24, alignment  0/15, fail:	220.188	295.727
Length  312/24, alignment  3/ 0, found:	220.859	298.688
Length  312/24, alignment  3/ 0, fail:	220.898	298.734
Length  312/24, alignment  3/ 3, found:	220.375	294.891
Length  312/24, alignment  3/ 3, fail:	220.5	313.992
Length  312/24, alignment  3/ 9, found:	218.273	295.555
Length  312/24, alignment  3/ 9, fail:	217.562	295.57
Length  312/24, alignment  3/15, found:	220.82	297.453
Length  312/24, alignment  3/15, fail:	220.281	296.883
Length  312/24, alignment  9/ 0, found:	219.398	299.57
Length  312/24, alignment  9/ 0, fail:	219.914	299.562
Length  312/24, alignment  9/ 3, found:	220.414	295.75
Length  312/24, alignment  9/ 3, fail:	219.938	298.141
Length  312/24, alignment  9/ 9, found:	218.352	293.867
Length  312/24, alignment  9/ 9, fail:	217.289	295.266
Length  312/24, alignment  9/15, found:	220.734	295.57
Length  312/24, alignment  9/15, fail:	221.164	309.625
Length  312/24, alignment 15/ 0, found:	219.938	299.57
Length  312/24, alignment 15/ 0, fail:	220.117	298.984
Length  312/24, alignment 15/ 3, found:	220.539	295.094
Length  312/24, alignment 15/ 3, fail:	220.758	294.562
Length  312/24, alignment 15/ 9, found:	217.461	294.258
Length  312/24, alignment 15/ 9, fail:	217.703	295.016
Length  312/24, alignment 15/15, found:	220.422	295.297
Length  312/24, alignment 15/15, fail:	220.391	294.867
Length  336/24, alignment  0/ 0, found:	234.516	313.531
Length  336/24, alignment  0/ 0, fail:	234.758	312.828
Length  336/24, alignment  0/ 3, found:	235.055	310.203
Length  336/24, alignment  0/ 3, fail:	234.266	309.477
Length  336/24, alignment  0/ 9, found:	231.867	308.094
Length  336/24, alignment  0/ 9, fail:	232.68	308.445
Length  336/24, alignment  0/15, found:	234.227	309.328
Length  336/24, alignment  0/15, fail:	234.297	308.789
Length  336/24, alignment  3/ 0, found:	235	313.875
Length  336/24, alignment  3/ 0, fail:	234.5	313.742
Length  336/24, alignment  3/ 3, found:	233.984	309.133
Length  336/24, alignment  3/ 3, fail:	234.273	308.453
Length  336/24, alignment  3/ 9, found:	231.938	308.008
Length  336/24, alignment  3/ 9, fail:	231.742	308.531
Length  336/24, alignment  3/15, found:	248.914	309.094
Length  336/24, alignment  3/15, fail:	234.164	309.219
Length  336/24, alignment  9/ 0, found:	233.773	312.234
Length  336/24, alignment  9/ 0, fail:	234.703	312.438
Length  336/24, alignment  9/ 3, found:	234.305	309.383
Length  336/24, alignment  9/ 3, fail:	234.305	309.586
Length  336/24, alignment  9/ 9, found:	231.398	310.805
Length  336/24, alignment  9/ 9, fail:	232.188	308.5
Length  336/24, alignment  9/15, found:	234.383	309.539
Length  336/24, alignment  9/15, fail:	234.391	311.875
Length  336/24, alignment 15/ 0, found:	234.492	323.32
Length  336/24, alignment 15/ 0, fail:	258.484	324.039
Length  336/24, alignment 15/ 3, found:	242.789	321.109
Length  336/24, alignment 15/ 3, fail:	242.586	321.148
Length  336/24, alignment 15/ 9, found:	240.133	320.477
Length  336/24, alignment 15/ 9, fail:	240.156	320.234
Length  336/24, alignment 15/15, found:	242.68	320.867
Length  336/24, alignment 15/15, fail:	242.992	320.438
Length  360/24, alignment  0/ 0, found:	258.258	340.188
Length  360/24, alignment  0/ 0, fail:	257.117	339.352
Length  360/24, alignment  0/ 3, found:	257.68	335.922
Length  360/24, alignment  0/ 3, fail:	257.516	351.383
Length  360/24, alignment  0/ 9, found:	255.383	333.477
Length  360/24, alignment  0/ 9, fail:	255.008	333.305
Length  360/24, alignment  0/15, found:	257.414	334.797
Length  360/24, alignment  0/15, fail:	256.336	334.93
Length  360/24, alignment  3/ 0, found:	257.484	339.391
Length  360/24, alignment  3/ 0, fail:	257.109	338.477
Length  360/24, alignment  3/ 3, found:	257.047	336.734
Length  360/24, alignment  3/ 3, fail:	257.172	339
Length  360/24, alignment  3/ 9, found:	254.117	335.719
Length  360/24, alignment  3/ 9, fail:	254.719	349.805
Length  360/24, alignment  3/15, found:	256.719	334.359
Length  360/24, alignment  3/15, fail:	256.828	334.008
Length  360/24, alignment  9/ 0, found:	256.586	337.836
Length  360/24, alignment  9/ 0, fail:	256.578	338.883
Length  360/24, alignment  9/ 3, found:	256.844	334.82
Length  360/24, alignment  9/ 3, fail:	257.383	337.766
Length  360/24, alignment  9/ 9, found:	254.352	334.953
Length  360/24, alignment  9/ 9, fail:	254.68	335.398
Length  360/24, alignment  9/15, found:	256.555	334.852
Length  360/24, alignment  9/15, fail:	256.812	333.969
Length  360/24, alignment 15/ 0, found:	272.547	340.234
Length  360/24, alignment 15/ 0, fail:	257.078	339.781
Length  360/24, alignment 15/ 3, found:	256.695	337.422
Length  360/24, alignment 15/ 3, fail:	256.648	337.531
Length  360/24, alignment 15/ 9, found:	254.609	336.305
Length  360/24, alignment 15/ 9, fail:	254.727	334.812
Length  360/24, alignment 15/15, found:	257.438	337.102
Length  360/24, alignment 15/15, fail:	256.906	336.609
Length   50/25, alignment  0/ 0, found:	75.6719	154.781
Length   50/25, alignment  0/ 0, fail:	70.9609	152.68
Length   50/25, alignment  0/ 3, found:	72.6641	150.766
Length   50/25, alignment  0/ 3, fail:	72.6094	150.508
Length   50/25, alignment  0/ 9, found:	72.3672	144.945
Length   50/25, alignment  0/ 9, fail:	72.5078	166.117
Length   50/25, alignment  0/15, found:	73.0625	150.953
Length   50/25, alignment  0/15, fail:	73.2422	150.672
Length   50/25, alignment  3/ 0, found:	71.7422	151.461
Length   50/25, alignment  3/ 0, fail:	71.2188	151.75
Length   50/25, alignment  3/ 3, found:	72.6875	150.719
Length   50/25, alignment  3/ 3, fail:	72.9062	149.906
Length   50/25, alignment  3/ 9, found:	72.5078	149.562
Length   50/25, alignment  3/ 9, fail:	73.7734	150.438
Length   50/25, alignment  3/15, found:	72.6797	150.688
Length   50/25, alignment  3/15, fail:	73.0469	150.258
Length   50/25, alignment  9/ 0, found:	71.7578	152.297
Length   50/25, alignment  9/ 0, fail:	71.8906	151.914
Length   50/25, alignment  9/ 3, found:	73.2344	150.164
Length   50/25, alignment  9/ 3, fail:	73.2031	150.297
Length   50/25, alignment  9/ 9, found:	72.7344	151.344
Length   50/25, alignment  9/ 9, fail:	72.4062	148.922
Length   50/25, alignment  9/15, found:	72.8516	150.25
Length   50/25, alignment  9/15, fail:	73.1328	151.055
Length   50/25, alignment 15/ 0, found:	71.6797	152.82
Length   50/25, alignment 15/ 0, fail:	71.5078	151.609
Length   50/25, alignment 15/ 3, found:	72.75	150.211
Length   50/25, alignment 15/ 3, fail:	72.7891	150.703
Length   50/25, alignment 15/ 9, found:	72.4375	146.508
Length   50/25, alignment 15/ 9, fail:	72.3594	150.828
Length   50/25, alignment 15/15, found:	73.9375	149.203
Length   50/25, alignment 15/15, fail:	73.9062	165.758
Length   75/25, alignment  0/ 0, found:	87.3828	171.164
Length   75/25, alignment  0/ 0, fail:	86.7969	170.781
Length   75/25, alignment  0/ 3, found:	87.4922	167.641
Length   75/25, alignment  0/ 3, fail:	87.1719	165.117
