                       	__strcpy_chk	normal_strcpy	simple_strcpy_chk
Length   32, alignment  4/ 2:	9.38312	4.41675	22.068
Length   32, alignment  2/ 2:	9.55133	4.41595	23.7893
Length   32, alignment  2/ 2:	9.38062	4.96753	23.8969
Length   64, alignment  3/ 6:	9.38348	6.62555	41.6632
Length   64, alignment  6/ 3:	10.1921	7.00177	41.527
Length   64, alignment  3/ 3:	10.2972	5.52423	41.69
Length   64, alignment  3/ 3:	9.93726	5.52313	40.9578
Length  128, alignment  4/ 0:	10.3244	6.19611	79.1043
Length  128, alignment  0/ 4:	11.429	6.28693	76.7106
Length  128, alignment  4/ 4:	11.322	5.52509	77.2567
Length  128, alignment  4/ 4:	12.0004	6.5882	78.2717
Length  256, alignment  5/ 2:	16.117	10.0253	179.444
Length  256, alignment  2/ 5:	13.2102	8.73053	163.108
Length  256, alignment  5/ 5:	16.6547	10.0671	181.458
Length  256, alignment  5/ 5:	15.5558	9.15405	187.245
Length  512, alignment  6/ 4:	19.321	14.397	295.322
Length  512, alignment  4/ 6:	18.4114	15.0335	301.245
Length  512, alignment  6/ 6:	15.5159	10.767	277.72
Length  512, alignment  6/ 6:	15.9832	10.9396	277.774
Length 1024, alignment  7/ 6:	27.526	25.8054	579.76
Length 1024, alignment  6/ 7:	31.2948	28.567	579.974
Length 1024, alignment  7/ 7:	21.7368	15.9239	495.416
Length 1024, alignment  7/ 7:	23.6732	17.6511	602.669
