                            	generic_strncat	__strncat_avx2	__strncat_avx2_rtm	__strncat_evex	__strncat_ssse3	__strncat_sse2_unaligned	__strncat_sse2
Length   64/  16, alignment  0/ 0, N  128:	22.3225	28.2145	28.1256	29.4013	19.9897	27.5952	23.2346
Length   64/  16, alignment  5/ 6, N  128:	24.4384	28.3767	26.5137	27.5667	24.8278	28.1315	23.2449
Length  128/ 128, alignment  0/ 0, N  128:	19.3143	19.8549	19.66	20.416	23.4488	20.509	19.0984
Length  128/ 128, alignment  4/ 0, N  128:	19.7175	25.2803	25.4377	26.1706	26.7703	23.5348	19.1312
Length  128/  32, alignment  0/ 0, N  128:	20.9316	22.0215	20.3814	21.2082	17.7488	20.8098	19.1747
Length  128/  32, alignment  4/ 0, N  128:	20.4858	22.7324	22.8743	23.9348	22.2435	23.1057	20.4149
Length  256/ 256, alignment  0/ 0, N  128:	19.083	17.154	17.4311	18.156	23.9648	17.4917	18.9265
Length  256/ 256, alignment  3/ 2, N  128:	21.8336	19.7211	19.8632	20.1369	26.0204	20.7188	21.5823
Length  256/  64, alignment  0/ 0, N  128:	17.0727	20.7103	20.9285	21.7956	18.4555	20.2067	16.9611
Length  256/  64, alignment  3/ 2, N  128:	20.6564	24.5976	24.6881	24.3812	23.9938	24.7065	22.3717
Length  512/ 512, alignment  0/ 0, N  128:	20.6589	18.4836	18.5663	19.2089	33.7428	28.4094	20.7486
Length  512/ 512, alignment  2/ 4, N  128:	23.7137	21.5022	21.4559	22.2879	37.9605	27.1091	23.8123
Length  512/ 128, alignment  0/ 0, N  128:	18.528	19.8673	19.815	20.2781	23.6512	20.1407	19.099
Length  512/ 128, alignment  2/ 4, N  128:	22.4031	23.5782	23.5334	24.3759	28.0288	25.3883	22.4242
Length 1024/1024, alignment  0/ 0, N  128:	21.6859	28.3636	30.8916	30.2578	51.5986	33.024	24.7929
Length 1024/1024, alignment  1/ 6, N  128:	24.4223	30.1166	30.4468	23.3981	53.3443	32.181	24.4366
Length 1024/ 256, alignment  0/ 0, N  128:	20.7606	18.8798	18.7793	20.0937	25.9786	19.2192	20.8469
Length 1024/ 256, alignment  1/ 6, N  128:	23.6796	21.8559	21.6169	22.2188	27.1245	20.6485	21.7067
Length   16/   1, alignment  1/ 2, N  128:	16.5393	14.41	14.2653	14.6915	8.17175	13.8172	16.5412
Length   16/   1, alignment  2/ 1, N  128:	16.5277	14.4052	15.1391	16.0293	9.36969	15.0888	17.9711
Length   16/  10, alignment  1/ 1, N  128:	18.1691	15.5449	15.558	16.2165	11.1565	15.1176	18.6989
Length   32/   1, alignment  2/ 4, N  128:	18.4706	16.5172	16.7554	17.1547	12.6804	23.9463	17.9998
Length   32/   1, alignment  4/ 2, N  128:	18.0458	16.6702	16.4995	17.0739	12.3505	20.8999	19.5682
Length   32/  10, alignment  2/ 2, N  128:	16.4839	15.1522	15.3014	15.5729	13.7828	21.8971	17.5644
Length   64/   1, alignment  3/ 6, N  128:	21.351	23.2051	23.4161	22.5193	13.8101	22.1426	18.7858
Length   64/   1, alignment  6/ 3, N  128:	19.7228	22.8824	22.7224	23.7289	12.9351	22.7768	19.9084
Length   64/  10, alignment  3/ 3, N  128:	19.5631	21.2969	21.8117	24.4659	16.9728	23.9402	20.5693
Length  128/   1, alignment  4/ 0, N  128:	22.3152	26.0959	25.8778	27.0108	19.4438	25.4042	21.8279
Length  128/   1, alignment  0/ 4, N  128:	20.5866	22.8265	22.1009	22.2891	17.7144	20.9437	18.731
Length  128/  10, alignment  4/ 4, N  128:	20.2061	22.8174	22.969	23.7729	20.1245	22.7008	20.0168
Length  256/   1, alignment  5/ 2, N  128:	20.0936	22.9756	23.1351	23.7583	16.8964	22.748	20.6367
Length  256/   1, alignment  2/ 5, N  128:	25.4384	28.298	28.0499	29.455	22.0573	29.8226	25.7342
Length  256/  10, alignment  5/ 5, N  128:	25.7939	27.9591	27.8371	29.3591	26.3312	29.117	25.7067
Length  512/   1, alignment  6/ 4, N  128:	25.8967	28.4303	28.5658	29.6776	21.0271	25.1906	20.0035
Length  512/   1, alignment  4/ 6, N  128:	19.9923	21.7969	21.817	23.0063	17.3831	22.2563	20.0026
Length  512/  10, alignment  6/ 6, N  128:	20.0032	21.8249	21.6604	22.8585	19.5626	22.511	19.9979
Length 1024/   1, alignment  7/ 6, N  128:	20.0332	21.7581	21.6465	22.7494	15.6184	22.9038	21.8147
Length 1024/   1, alignment  6/ 7, N  128:	21.8701	22.204	21.6635	22.8305	17.8766	22.5995	20.0107
Length 1024/  10, alignment  7/ 7, N  128:	20.1903	21.7292	21.6558	22.9191	20.88	24.4969	22.5072
Length    2/   2, alignment  0/ 2, N  512:	16.4693	14.2491	14.2559	14.8444	4.49115	13.3881	16.4697
Length    4/   4, alignment  0/ 0, N  512:	15.7367	16.0776	16.0645	16.9996	5.39532	14.596	18.5303
Length    4/   4, alignment  4/ 0, N  512:	16.3075	17.08	17.0643	17.6724	4.72485	13.4106	16.4729
Length    8/   8, alignment  0/ 0, N  512:	15.8286	15.5471	15.5477	16.2464	6.82275	14.6227	17.6581
Length    8/   8, alignment  0/ 0, N  512:	16.9075	14.2665	14.2565	14.8212	5.85803	13.5052	17.641
Length   16/  16, alignment  0/ 0, N  512:	17.0042	15.8383	16.1677	16.3657	13.6914	13.9435	16.1918
Length   16/  16, alignment  7/ 2, N  512:	16.4782	14.2527	14.3735	14.6874	14.2849	14.0797	16.4752
Length   16/   4, alignment  0/ 0, N  512:	16.4722	14.4302	14.2563	14.6921	8.90204	13.9537	16.4765
Length   16/   4, alignment  7/ 2, N  512:	16.5449	14.3684	14.2576	15.7642	10.7556	15.2142	18.0409
Length   32/  32, alignment  0/ 0, N  512:	17.5072	17.0698	16.5294	18.1907	17.0316	24.4244	18.7998
Length   32/  32, alignment  6/ 4, N  512:	22.2399	20.952	22.164	24.2077	22.5255	29.3876	25.5515
Length   32/   8, alignment  0/ 0, N  512:	22.1254	20.1974	20.1828	20.9376	16.1272	28.026	21.968
Length   32/   8, alignment  6/ 4, N  512:	22.116	20.2034	20.3149	20.7739	17.9064	27.9832	21.9771
Length   64/  64, alignment  0/ 0, N  512:	22.1089	29.6273	30.0319	30.3528	20.7477	28.7873	21.9824
Length   64/  64, alignment  5/ 6, N  512:	25.7653	30.684	30.801	31.8607	27.4388	28.431	24.7406
Length   64/  16, alignment  0/ 0, N  512:	24.1675	29.071	29.2192	30.409	20.7889	28.5416	24.0416
Length   64/  16, alignment  5/ 6, N  512:	25.2922	29.2508	29.3939	30.3771	21.4974	22.6484	19.3674
Length  128/ 128, alignment  0/ 0, N  512:	16.9178	22.8948	23.0926	23.7679	20.1087	24.6429	16.7657
Length  128/ 128, alignment  4/ 0, N  512:	16.6273	25.8546	25.6846	26.4496	23.2294	25.1292	16.6785
Length  128/  32, alignment  0/ 0, N  512:	19.1842	25.0762	26.1313	26.9807	19.8826	28.3636	20.9437
Length  128/  32, alignment  4/ 0, N  512:	21.2148	27.4937	27.6071	29.0497	25.4207	30.5251	22.3603
