                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length   16, position   15, alignment  0:	12.645	4.16833	4.12904	3.09718	2.58124	3.64877
Length   16, position   15, alignment  7:	13.2442	4.12909	4.12892	3.08655	3.09692	3.6132
Length   16, position   15, alignment  7:	12.1259	3.92365	3.87897	2.90939	2.90916	3.548
Length   14, position   15, alignment  0:	15.0346	4.12892	3.86436	3.09714	3.09697	4.12915
Length   14, position   15, alignment  0:	15.9291	4.41388	3.47975	3.34262	3.31061	4.41409
Length   14, position   15, alignment  7:	15.6756	4.12923	3.09839	2.58087	2.85086	4.12926
Length   14, position   15, alignment  7:	15.5252	4.16646	3.09821	2.58095	3.09712	4.17157
Length   17, position   16, alignment  0:	12.3599	3.87894	3.87892	2.94669	2.90939	3.88272
Length   17, position   16, alignment  0:	12.4833	3.92276	4.36914	3.31061	3.31059	4.75728
Length   17, position   16, alignment  0:	14.246	4.41402	4.07988	2.75911	3.31062	4.4156
Length   17, position   16, alignment  0:	15.7377	4.41408	4.41374	3.35931	2.75926	4.96565
Length   15, position   16, alignment  0:	16.8137	4.57129	4.61554	2.85742	3.42877	4.57228
Length   15, position   16, alignment  0:	15.8163	3.87889	3.87895	2.94666	2.90926	3.8792
Length   15, position   16, alignment  0:	14.924	4.17114	3.09698	3.09689	3.09706	4.0699
Length   15, position   16, alignment  0:	14.5901	3.87885	2.94482	2.90927	2.90919	3.87538
Length   18, position   17, alignment  0:	12.7859	4.57977	3.55754	2.96323	3.02075	4.99156
Length   18, position   17, alignment  0:	18.4739	4.78662	4.74066	3.08214	2.96323	4.74254
Length   18, position   17, alignment  1:	18.4829	4.7411	3.55742	3.26355	3.55568	4.74207
Length   18, position   17, alignment  1:	15.9002	4.74104	4.74084	3.59979	3.55591	4.74252
Length   16, position   17, alignment  0:	13.8571	4.41391	3.31216	3.31047	3.35861	3.8625
Length   16, position   17, alignment  0:	12.2299	3.99998	4.05382	3.3158	3.36703	3.31143
Length   16, position   17, alignment  1:	13.3219	4.41388	4.41383	2.92421	2.75938	3.31068
Length   16, position   17, alignment  1:	13.3215	4.46132	3.3118	3.31053	3.31071	3.91815
Length   19, position   18, alignment  0:	15.711	4.41397	3.92905	2.759	3.31067	5.0081
Length   19, position   18, alignment  0:	15.4682	3.14659	3.61313	2.82355	2.99347	4.36386
