                    	simple_memrchr	__memrchr_avx2	__memrchr_avx2_rtm	__memrchr_evex	__memrchr_sse2
Length   16, position   17, alignment  0:	10.7381	4.48647	5.33304	3.99985	4.03365
Length   16, position   17, alignment  1:	10.7457	4.00005	5.33313	3.28667	4.44455
Length   16, position   17, alignment  1:	10.7417	4.00003	4.99287	3.55562	4.8784
Length   18, position    1, alignment  0:	11.1496	3.58394	4.88853	3.55148	4.0334
Length   18, position    2, alignment  0:	10.6982	3.58969	4.4453	3.11108	2.71046
Length   19, position   18, alignment  0:	3.1347	3.55551	4.49513	3.57028	2.66655
Length   19, position   18, alignment  0:	3.99922	3.59634	4.88843	3.11111	2.22231
Length   19, position   18, alignment  2:	4.03284	4.44418	4.49947	2.9713	2.22237
Length   19, position   18, alignment  2:	3.99947	4.47577	4.44534	2.97073	2.69675
Length   17, position   18, alignment  0:	10.7495	4.49373	4.44519	3.99988	3.69241
Length   17, position   18, alignment  0:	10.7777	4.4442	4.8885	2.98079	4.00002
Length   17, position   18, alignment  2:	10.7604	3.55568	5.37328	3.55566	3.55638
Length   17, position   18, alignment  2:	10.749	3.5556	5.37347	3.5556	3.99998
Length   19, position    1, alignment  0:	11.6793	3.60043	4.44508	3.11119	3.59689
Length   19, position    2, alignment  0:	11.1765	3.55534	4.88844	2.66725	3.35603
Length   20, position   19, alignment  0:	3.99976	3.55632	4.69733	3.55539	2.22244
Length   20, position   19, alignment  0:	4.03273	3.55544	4.88838	3.11113	2.70323
Length   20, position   19, alignment  3:	4.44379	4.44432	5.35907	2.9704	2.66669
Length   20, position   19, alignment  3:	4.25305	4.4442	5.3331	3.00993	2.34305
Length   18, position   19, alignment  0:	12.692	4.84843	5.55341	4.13011	4.12981
Length   18, position   19, alignment  0:	13.0838	4.92377	5.81795	3.92613	4.36368
Length   18, position   19, alignment  3:	12.6897	3.87891	4.93668	3.87895	3.89796
Length   18, position   19, alignment  3:	12.9893	4.65973	5.51866	4.44403	4.80208
Length   20, position    1, alignment  0:	15.0388	4.17908	4.64557	3.61279	4.1754
Length   20, position    2, alignment  0:	14.1282	4.12889	5.20726	3.80479	4.13261
Length   21, position   20, alignment  0:	5.26088	4.74069	5.21815	4.74084	3.55568
Length   21, position   20, alignment  0:	5.36353	4.74057	5.82455	3.56007	3.5556
Length   21, position   20, alignment  4:	5.95454	5.92575	5.96094	3.96068	3.55574
Length   21, position   20, alignment  4:	5.36612	5.78241	5.7412	3.8205	3.42854
Length   19, position   20, alignment  0:	15.5302	5.71405	5.7144	3.46617	5.14278
Length   19, position   20, alignment  0:	14.9141	4.47768	3.55803	2.66705	4.04129
Length   19, position   20, alignment  4:	12.0361	4.00006	4.9166	3.58829	3.99989
Length   19, position   20, alignment  4:	12.8996	4.64516	5.72263	3.61319	4.13025
Length   21, position    1, alignment  0:	14.5782	4.129	4.39331	3.99414	4.41498
Length   21, position    2, alignment  0:	14.3747	3.75316	4.13002	4.11472	4.0387
Length   22, position   21, alignment  0:	4.64482	4.1302	4.37033	3.86832	3.31049
Length   22, position   21, alignment  0:	5.00772	4.2682	4.64497	4.16275	2.99992
Length   22, position   21, alignment  5:	5.81746	4.8821	5.81775	3.28697	2.42445
Length   22, position   21, alignment  5:	5.81738	4.88811	5.80389	2.97127	2.71031
Length   20, position   21, alignment  0:	13.4447	4.4442	5.33577	3.99985	3.99988
Length   20, position   21, alignment  0:	12.5288	4.47604	4.44542	2.69133	4.40935
Length   20, position   21, alignment  5:	13.6715	4.28668	6.82104	3.78572	4.57253
Length   20, position   21, alignment  5:	16.1217	5.14284	6.75922	4.5714	5.14264
Length   22, position    1, alignment  0:	17.319	4.57137	5.45909	4	4.57291
Length   22, position    2, alignment  0:	16.767	4.74059	4.74182	4.34937	4.74208
Length   23, position   22, alignment  0:	5.36795	4.74051	5.33293	4.72444	3.48357
Length   23, position   22, alignment  0:	4.63193	3.5554	3.55688	3.1111	2.76416
Length   23, position   22, alignment  6:	3.99951	4.44431	4.49129	2.97018	2.74055
Length   23, position   22, alignment  6:	4.36311	4.87735	4.8497	3.27832	2.42432
Length   21, position   22, alignment  0:	13.6622	4.84851	3.9146	2.91051	3.88004
Length   21, position   22, alignment  0:	13.6041	4.59135	3.88138	3.40213	4.00441
Length   21, position   22, alignment  6:	13.0778	3.99997	4.88635	3.3326	3.99988
Length   21, position   22, alignment  6:	13.3784	4.36369	5.39871	3.87895	3.91843
Length   23, position    1, alignment  0:	15.3745	3.87871	4.36333	3.39627	3.87988
Length   23, position    2, alignment  0:	15.0956	4.17427	4.64496	4.12901	4.36406
Length   24, position   23, alignment  0:	4.64494	4.12912	4.26059	4.02698	3.35905
Length   24, position   23, alignment  0:	4.75679	4.57126	4.69757	4.08946	3.42857
Length   24, position   23, alignment  7:	5.06299	5.71391	6.31108	3.8197	2.85719
Length   24, position   23, alignment  7:	5.17307	5.71402	5.71564	3.84465	2.85727
Length   22, position   23, alignment  0:	17.2389	5.73991	4.57265	4.5968	4.5726
Length   22, position   23, alignment  0:	17.2361	5.74413	5.714	4.83395	4.3376
Length   22, position   23, alignment  7:	13.419	3.92198	4.91353	3.55576	3.89505
Length   22, position   23, alignment  7:	13.3482	3.55559	4.4455	3.58896	3.55641
Length   24, position    1, alignment  0:	14.058	3.55536	3.48158	3.55333	3.55643
Length   24, position    2, alignment  0:	13.5008	3.59196	3.55757	3.1133	4.02821
Length   25, position   24, alignment  0:	3.53038	3.55649	3.55716	3.40378	2.66667
Length   25, position   24, alignment  0:	3.99934	3.59186	3.55745	3.55269	2.72389
Length   25, position   24, alignment  0:	4.40045	3.8797	4.84837	3.25098	2.42444
Length   25, position   24, alignment  0:	4.36305	3.90836	5.33287	3.87119	2.4828
Length   23, position   24, alignment  0:	15.025	4.84848	5.17424	4.64507	4.13002
Length   23, position   24, alignment  0:	16.0356	5.161	4.133	4.68488	4.64514
Length   23, position   24, alignment  0:	15.7721	5.21797	4.62231	5.37047	4.74165
Length   23, position   24, alignment  0:	18.097	5.84642	4.57265	4.60188	5.14249
Length   25, position    1, alignment  0:	18.6166	4.00006	6.22946	4.00302	4.57249
Length   25, position    2, alignment  0:	17.9099	4.57413	5.24817	4.55936	4.55424
