                    	simple_STRCHR	__strchr_avx2	__strchr_avx2_rtm	__strchr_evex	__strchr_sse2_no_bsf	__strchr_sse2
Length   32, alignment in bytes  1:	22.8043	3.09814	4.88358	3.09805	7.2623	4.42683
Length   64, alignment in bytes  0:	39.0151	3.39439	4.18909	3.879	9.72208	8.04037
Length   64, alignment in bytes  2:	36.6734	3.42317	3.88033	3.39406	8.44116	8.21941
Length  128, alignment in bytes  0:	68.0581	4.52354	4.84985	4.37337	11.1815	9.97702
Length  128, alignment in bytes  3:	73.6315	5.39246	5.92732	5.37517	14.8601	12.1814
Length  256, alignment in bytes  0:	174.715	11.3382	11.3708	9.83012	22.9758	15.7324
Length  256, alignment in bytes  4:	162.089	9.8951	11.3698	9.84871	23.2313	16.6221
Length  512, alignment in bytes  0:	309.766	16.0875	16.9709	13.8201	41.0009	23.8842
Length  512, alignment in bytes  5:	283.695	16.0646	16.8054	13.6257	40.5146	26.5905
Length 1024, alignment in bytes  0:	579.502	25.6497	23.3102	21.104	71.7556	49.3137
Length 1024, alignment in bytes  6:	566.838	21.2046	23.4671	23.697	83.7051	44.318
Length 2048, alignment in bytes  0:	1102.86	41.5133	39.665	33.5288	129.874	74.7218
Length 2048, alignment in bytes  7:	1095.65	50.0211	61.2001	50.5991	303.033	87.3136
Length   64, alignment in bytes  1:	59.2083	16.9091	18.7545	15.0214	39.1429	36.9776
Length   64, alignment in bytes  1:	42.4395	3.61572	5.18736	3.61346	9.49901	8.60831
Length   64, alignment in bytes  2:	39.442	3.86234	4.61559	4.41367	10.1542	8.68213
Length   64, alignment in bytes  2:	39.934	3.61292	4.13051	4.16901	9.02885	8.57286
Length   64, alignment in bytes  3:	42.588	16.3627	16.8689	14.8008	41.1045	48.1304
Length   64, alignment in bytes  3:	46.3913	3.39746	4.36491	3.92694	8.34706	8.6123
Length   64, alignment in bytes  4:	39.4292	3.65755	5.16096	4.12885	9.23703	8.6172
Length   64, alignment in bytes  4:	39.4268	3.61293	4.16719	3.6131	9.15831	8.60419
Length   64, alignment in bytes  5:	39.1968	3.39407	4.36426	3.90921	7.76175	8.08778
Length   64, alignment in bytes  5:	36.6075	3.39401	4.05565	3.87859	8.20621	8.0522
Length   64, alignment in bytes  6:	35.6422	3.39391	4.88672	3.87874	8.78018	7.80696
Length   64, alignment in bytes  6:	66.3519	15.9135	17.6901	15.1257	37.3412	11.1777
Length   64, alignment in bytes  7:	36.9286	3.61375	4.45004	4.12932	8.97911	8.57076
Length   64, alignment in bytes  7:	39.0174	3.61305	4.64577	3.85622	9.2901	8.60501
Length  256, alignment in bytes  0:	163.898	9.3856	9.53525	8.59608	19.8698	15.07
Length  256, alignment in bytes  0:	158.497	19.7923	53.09	37.4699	81.8483	15.6482
Length  256, alignment in bytes 16:	160.265	10.9435	10.9835	9.4563	22.3279	15.012
Length  256, alignment in bytes 16:	199.232	8.66896	8.55307	7.39015	17.3798	12.9373
Length  256, alignment in bytes 32:	174.684	10.8824	11.5581	9.85728	21.297	15.0317
Length  256, alignment in bytes 32:	171.194	9.44521	9.65486	16.3583	108.247	62.3728
Length  256, alignment in bytes 48:	173.051	10.5545	10.4586	8.89731	20.1738	15.05
Length  256, alignment in bytes 48:	172.72	11.7534	12.0099	10.1997	22.6716	16.1149
Length  256, alignment in bytes 64:	185.838	11.4742	11.4627	10.3698	22.5212	16.0403
Length  256, alignment in bytes 64:	239.149	14.0399	11.4737	10.3574	22.3189	16.676
Length  256, alignment in bytes 80:	180.982	11.4675	11.4671	10.4253	77.1895	82.1014
Length  256, alignment in bytes 80:	191.628	11.4684	11.4953	10.3909	22.9791	16.0583
Length  256, alignment in bytes 96:	240.405	8.22023	8.27379	7.67885	20.2271	15.0602
Length  256, alignment in bytes 96:	175.824	8.32124	8.22614	7.67781	20.2021	15.0216
Length  256, alignment in bytes 112:	171.39	48.2133	47.9336	32.7935	41.6792	14.1051
Length  256, alignment in bytes 112:	163.532	48.4302	50.1917	26.8257	62.4932	17.4508
Length    0, alignment in bytes  0:	2.44916	2.47856	3.8799	2.42476	4.03442	2.47511
Length    0, alignment in bytes  0:	2.90906	2.42442	3.31708	2.46707	3.87888	2.30208
Length    1, alignment in bytes  0:	3.44612	2.2932	3.55545	2.22223	4.47992	2.47742
Length    1, alignment in bytes  0:	5.33322	2.55725	2.94809	2.42442	4.36357	2.57179
Length    2, alignment in bytes  0:	5.90779	2.42448	3.79367	2.42433	4.41371	2.42427
Length    2, alignment in bytes  0:	5.49324	2.22237	3.55542	2.22218	4.19347	2.22238
Length    3, alignment in bytes  0:	7.32262	2.22249	2.7822	2.22232	4.00031	2.35693
Length    3, alignment in bytes  0:	5.88278	2.22267	3.24617	2.27199	4	2.22209
Length    4, alignment in bytes  0:	8.17078	2.58574	3.44978	2.54202	3.93579	2.42447
Length    4, alignment in bytes  0:	8.78036	2.42451	3.87886	2.54265	3.92612	2.42419
Length    5, alignment in bytes  0:	7.87994	2.42439	3.87863	2.54863	3.9525	2.42426
Length    5, alignment in bytes  0:	8.1521	2.46088	3.87872	2.42433	4.43033	2.42442
Length    6, alignment in bytes  0:	10.9231	2.42444	3.87869	5.08607	16.9021	9.07132
Length    6, alignment in bytes  0:	9.95059	8.37744	8.77437	6.8683	16.7962	9.08853
Length    7, alignment in bytes  0:	10.7998	8.48389	8.67688	6.9191	17.2013	4.36865
Length    7, alignment in bytes  0:	7.58868	2.90331	3.04218	2.27577	4.44614	2.22214
Length    8, alignment in bytes  0:	9.00087	2.22231	2.82234	2.22223	3.59755	2.22261
Length    8, alignment in bytes  0:	8.9558	2.22238	3.5553	2.38527	3.60733	2.22258
Length    9, alignment in bytes  0:	9.43301	2.22234	3.11093	2.29991	3.62529	2.22256
Length    9, alignment in bytes  0:	9.36598	2.27049	3.5553	2.22226	3.72757	2.27423
Length   10, alignment in bytes  0:	9.81683	2.26793	3.55536	2.22224	4.29225	2.26285
Length   10, alignment in bytes  0:	12.7762	7.68898	8.5961	6.52266	18.3084	8.64612
Length   11, alignment in bytes  0:	17.6145	7.95529	8.28125	7.06973	19.9283	9.1738
Length   11, alignment in bytes  0:	14.7588	7.93694	8.87738	6.69788	20.2106	9.72446
Length   12, alignment in bytes  0:	17.3224	8.18042	8.82713	6.68806	15.3785	7.44499
Length   12, alignment in bytes  0:	12.4605	4.59705	4.04123	3.20413	5.23711	2.22252
