                    	simple_STRCHRNUL	__strchrnul_avx2	__strchrnul_avx2_rtm	__strchrnul_evex	__strchrnul_sse2
Length  256, alignment in bytes 80:	164.273	10.721	10.4166	9.28221	15.0389
Length  256, alignment in bytes 96:	173.769	8.03876	7.62746	7.15775	13.8492
Length  256, alignment in bytes 96:	159.174	8.89882	8.92256	8.44485	17.107
Length  256, alignment in bytes 112:	180.252	9.31827	9.39786	8.64595	17.2694
Length  256, alignment in bytes 112:	177.162	9.31348	9.38792	8.75162	17.2254
Length    0, alignment in bytes  0:	2.96335	2.94815	3.49582	2.75874	2.78836
Length    0, alignment in bytes  0:	2.85693	2.89099	3.40244	2.75896	2.75888
Length    1, alignment in bytes  0:	2.80681	2.7594	3.31041	2.75874	2.80515
Length    1, alignment in bytes  0:	2.76009	2.58073	3.09732	2.58055	2.58086
Length    2, alignment in bytes  0:	3.09724	2.58078	3.09708	2.61348	2.58072
Length    2, alignment in bytes  0:	3.09694	2.58055	3.16304	2.58069	2.58086
Length    3, alignment in bytes  0:	5.18732	2.80019	3.8409	2.75856	2.75879
Length    3, alignment in bytes  0:	5.27713	2.75853	3.31029	2.80168	2.75879
Length    4, alignment in bytes  0:	6.34494	2.78818	3.31049	2.75879	2.75873
Length    4, alignment in bytes  0:	6.38593	2.75867	3.31071	2.80006	2.75859
Length    5, alignment in bytes  0:	8.86536	2.7588	3.31047	2.75873	2.75874
Length    5, alignment in bytes  0:	8.85936	2.75871	3.35498	2.7587	2.75876
Length    6, alignment in bytes  0:	6.75409	2.58081	3.09679	2.58078	2.6167
Length    6, alignment in bytes  0:	6.21172	2.58078	3.1324	2.58072	2.5808
Length    7, alignment in bytes  0:	7.02267	2.4557	3.38989	2.46596	2.49989
Length    7, alignment in bytes  0:	6.74028	2.42426	2.9091	2.45816	2.42432
Length    8, alignment in bytes  0:	7.04941	2.46011	2.90889	2.46335	2.53979
Length    8, alignment in bytes  0:	7.54225	2.58076	3.09682	2.6212	2.5808
Length    9, alignment in bytes  0:	9.59035	2.75841	3.85637	2.75873	2.79622
Length    9, alignment in bytes  0:	9.76558	2.61305	3.09683	2.58081	2.58087
Length   10, alignment in bytes  0:	9.96175	2.75876	3.55263	2.75879	2.75876
