                       	strcasestr	simple_strcasestr
Length   20/2, alignment  3/ 3, found:	34.5156	55.9922
Length   20/2, alignment  3/ 3, fail:	33.7812	56.2266
Length   20/2, alignment  3/ 9, found:	33.9141	55.5938
Length   20/2, alignment  3/ 9, fail:	33.5703	55.4297
Length   20/2, alignment  3/15, found:	38.2109	56.5
Length   20/2, alignment  3/15, fail:	36.8672	57.0469
Length   20/2, alignment  9/ 0, found:	37.2422	56.5
Length   20/2, alignment  9/ 0, fail:	35.9688	57.2891
Length   20/2, alignment  9/ 3, found:	36	55.4766
Length   20/2, alignment  9/ 3, fail:	33.7891	56.1172
Length   20/2, alignment  9/ 9, found:	35.1094	55.7656
Length   20/2, alignment  9/ 9, fail:	35.4375	56.8672
Length   20/2, alignment  9/15, found:	35.4922	56.2812
Length   20/2, alignment  9/15, fail:	34.8438	56.1641
Length   20/2, alignment 15/ 0, found:	35.5234	56.2891
Length   20/2, alignment 15/ 0, fail:	35.0312	56.3906
Length   20/2, alignment 15/ 3, found:	36.0703	55.0391
Length   20/2, alignment 15/ 3, fail:	34.4297	56.3984
Length   20/2, alignment 15/ 9, found:	36.0234	55.3984
Length   20/2, alignment 15/ 9, fail:	35.9922	55.3984
Length   20/2, alignment 15/15, found:	38.1484	55.2812
Length   20/2, alignment 15/15, fail:	35.9688	55.2266
Length   22/2, alignment  0/ 0, found:	36.4922	56.3125
Length   22/2, alignment  0/ 0, fail:	36.4297	57.5234
Length   22/2, alignment  0/ 3, found:	36.8438	56.9141
Length   22/2, alignment  0/ 3, fail:	37.3438	57.2734
Length   22/2, alignment  0/ 9, found:	37.5234	55.9609
Length   22/2, alignment  0/ 9, fail:	34.375	57.0234
Length   22/2, alignment  0/15, found:	37.2109	57.125
Length   22/2, alignment  0/15, fail:	35.3203	57.0391
Length   22/2, alignment  3/ 0, found:	35.8203	56.0078
Length   22/2, alignment  3/ 0, fail:	34.1562	57.0469
Length   22/2, alignment  3/ 3, found:	35.4844	57.8672
Length   22/2, alignment  3/ 3, fail:	34.8984	57.6719
Length   22/2, alignment  3/ 9, found:	36.5938	57.75
Length   22/2, alignment  3/ 9, fail:	34.4219	57.5625
Length   22/2, alignment  3/15, found:	35.5391	57.1719
Length   22/2, alignment  3/15, fail:	35.4844	59.7891
Length   22/2, alignment  9/ 0, found:	35.0469	57.1094
Length   22/2, alignment  9/ 0, fail:	35.9688	57.0234
Length   22/2, alignment  9/ 3, found:	36.6875	57.0547
Length   22/2, alignment  9/ 3, fail:	35.7578	72.5625
Length   22/2, alignment  9/ 9, found:	42.125	57.7656
Length   22/2, alignment  9/ 9, fail:	39.7422	58.5547
Length   22/2, alignment  9/15, found:	38.8516	57.6953
Length   22/2, alignment  9/15, fail:	37.7734	58.0312
Length   22/2, alignment 15/ 0, found:	38.5234	57.6875
Length   22/2, alignment 15/ 0, fail:	37.625	58.0156
