                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length   32, alignment  2/ 2:	8.25018	4.7077	19.6311
Length   64, alignment  3/ 6:	9.69641	5.33557	37.9205
Length   64, alignment  6/ 3:	9.21295	4.84967	37.8263
Length   64, alignment  3/ 3:	9.21289	4.75006	34.6735
Length   64, alignment  3/ 3:	8.88812	4.00098	34.6709
Length  128, alignment  4/ 0:	8.8938	5.33429	68.0034
Length  128, alignment  0/ 4:	9.33295	5.33606	67.8405
Length  128, alignment  4/ 4:	9.52124	4.88928	72.1905
Length  128, alignment  4/ 4:	11.0433	6.96191	84.9788
Length  256, alignment  5/ 2:	16.8689	10.2257	189.052
Length  256, alignment  2/ 5:	16.6766	10.575	188.004
Length  256, alignment  5/ 5:	14.3164	7.77313	153.41
Length  256, alignment  5/ 5:	12.9514	7.22113	151.453
Length  512, alignment  6/ 4:	17.7151	12.9039	317.104
Length  512, alignment  4/ 6:	19.3258	13.5102	331.564
Length  512, alignment  6/ 6:	16.4875	11.2436	283.083
Length  512, alignment  6/ 6:	16.3514	10.4274	290.64
Length 1024, alignment  7/ 6:	28.2765	25.1097	650.296
Length 1024, alignment  6/ 7:	34.1441	29.7646	717.832
Length 1024, alignment  7/ 7:	26.1259	18.777	580.53
Length 1024, alignment  7/ 7:	22.9797	16.1582	598.018
